what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_CA",1375053601667
processors,sysinfo,,,"4",1375053601667
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1375053601667
java.runtime.version,sysinfo,,,"1.7.0_25-b17",1375053601667
java.specification.name,sysinfo,,,"Java Platform API Specification",1375053601667
java.specification.vendor,sysinfo,,,"Oracle Corporation",1375053601667
java.specification.version,sysinfo,,,"1.7",1375053601667
java.vendor,sysinfo,,,"Oracle Corporation",1375053601667
java.version,sysinfo,,,"1.7.0_25",1375053601667
java.vm.info,sysinfo,,,"mixed mode, sharing",1375053601667
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1375053601667
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1375053601667
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1375053601667
java.vm.specification.version,sysinfo,,,"1.7",1375053601667
java.vm.vendor,sysinfo,,,"Oracle Corporation",1375053601667
java.vm.version,sysinfo,,,"23.25-b01",1375053601667
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1375053602613
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1375053602669
started,bundle,org.eclipse.cdt.codan.ui.cxx,1.0.0.201102110609,"org.eclipse.cdt.codan.ui.cxx",1375053602760
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1375053603273
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1375053603274
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1375053603840
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1375053604196
started,bundle,org.eclipse.cdt.scripting,1.0.0.201102110609,"org.eclipse.cdt.scripting",1375053604535
started,bundle,org.eclipse.cdt.core.tests,5.2.1.201102110609,"org.eclipse.cdt.core.tests",1375053605122
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1375053605239
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1375053605542
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1375053605794
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1375053606143
started,bundle,org.eclipse.cdt.ui.tests,5.1.1.201102110609,"org.eclipse.cdt.ui.tests",1375053606505
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1375053606945
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1375053606997
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201102110609,"org.eclipse.cdt.codan.core.cxx",1375053607000
started,bundle,org.eclipse.cdt.codan.core,1.0.0.201102110609,"org.eclipse.cdt.codan.core",1375053607027
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1375053611038
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1375053611204
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1375053617694
